Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,Time,  AverageTime
0.000000,-4.771213,1.224745,376,100,101,0.116337,0.990099,0.000000,0.000000
1.000000,-3.771212,1.091555,311,100,107,0.090829,0.934579,0.000000,0.000000
2.000000,-2.771212,0.972849,223,100,113,0.061670,0.884956,0.000000,0.000000
3.000000,-1.771212,0.867053,184,100,133,0.043233,0.751880,0.000000,0.000000
4.000000,-0.771212,0.772762,152,100,152,0.031250,0.657895,0.000000,0.000000
5.000000,0.228788,0.688725,126,100,261,0.015086,0.383142,0.000000,0.000000
6.000000,1.228788,0.613826,116,100,488,0.007428,0.204918,0.000000,0.000000
7.000000,2.228788,0.547073,104,100,962,0.003378,0.103950,0.000000,0.000000
8.000000,3.228788,0.487580,101,100,2668,0.001183,0.037481,1.000000,0.000375
9.000000,4.228787,0.434556,101,100,8677,0.000364,0.011525,0.000000,0.000000
10.000000,5.228787,0.387298,100,100,45481,0.000069,0.002199,1.000000,0.000022
11.000000,6.228787,0.345180,100,100,245168,0.000013,0.000408,4.000000,0.000016
